,laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,Flash,HDD,Hybrid,SSD,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
47,48,17.3,8,3.2,1299.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,3.0,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
48,49,15.6,4,2.3,639.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
49,50,17.3,4,2.8,466.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.1,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50,51,10.1,4,0.69,319.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1920,1200,1.44,64000.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
51,52,15.6,8,2.2,841.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
52,53,15.6,4,1.86,398.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
53,54,13.3,8,1.49,1103.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,512000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
54,55,15.6,4,2.4,384.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.4,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
55,56,15.6,8,2.13,767.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
56,57,15.6,4,1.91,439.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.0,128000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
